Edible,Color,Shape,Surface
E,Brown,Bellshaped,Fibrous
E,Brown,Bellshaped,Smooth
E,YellowBrown,Convex,Smooth
E,BrownDark,Depressed,Smooth
I,Red,Stinkhorns,
E,White,ToothFungi,RaisedScales
I,OrangeBrown,Polypore,Velvety
I,Dark,CupFungi,Smooth
E,Pale,Convex,Smooth
E,YellowBrown,Convex,Smooth
E,BrownYellow,Knobbed,Smooth
E,Brown,Conical,Smooth
E,BrownPale,Conical,Smooth
E,Brown,Convex,Smooth
E,Pale,Knobbed,Smooth
P,Orange,Shellshaped,Velvety
I,Orange,Polypore,Velvety
I,GreenYellow,CoralFungi,Smooth
E,Red,CoralFungi,Smooth
E,PinkRed,CoralFungi,Smooth
P,Pink,CoralFungi,Smooth
E,PaleYellow,CoralFungi,Smooth
I,Tan,CoralFungi,
E,Yellow,CoralFungi,Smooth
P,Yellow,CoralFungi,Smooth
E,WhitePale,CoralFungi,Smooth
E,PinkRed,CoralFungi,Smooth
I,Yellow,CoralFungi,Smooth
I,Gray,Shellshaped,Fibrous
,White,,
E,Tan,Bolete,FlatScales
,Brown,,
I,Brown,Truffles,Fibrous
E,Brown,Truffles,Smooth
E,Brown,Convex,Smooth
I,White,Convex,Smooth
P,Pink,Corticioid,
I,Pink,JellyFungi,Silky
P,Orange,Depressed,Smooth
P,WhiteBrown,Depressed,Smooth
I,DarkBrown,Polypore,Smooth
P,Red,Convex,Silky
P,Red,Convex,Smooth
P,Red,Bolete,Smooth
P,GrayPink,Bolete,Silky
E,PinkPale,Bolete,Silky
P,BrownRed,Convex,Silky
I,GrayRed,Bolete,Silky
P,Purple,Convex,Fibrous
P,PaleRed,Bolete,Smooth
E,Brown,Convex,Smooth
E,BrownGray,Depressed,Smooth
E,GrayGreen,Depressed,Smooth
E,GrayBrown,Depressed,Smooth
E,Purple,Depressed,Smooth
E,OrangeRed,Depressed,Smooth
E,PinkYellow,Depressed,Velvety
E,Violet,Depressed,Smooth
I,WhitePink,Depressed,Smooth
E,White,Depressed,Smooth
E,Yellow,Depressed,Smooth
E,LilacViolet,Depressed,Smooth
E,Orange,Depressed,Smooth
E,White,Funnelshaped,Smooth
E,Brown,Depressed,Smooth
P,Brown,Depressed,Smooth
P,PinkRed,Depressed,Smooth
I,Yellow,Depressed,Smooth
I,Yellow,Depressed,Smooth
I,Yellow,Depressed,Smooth
I,Purple,Depressed,Smooth
P,BrownYellow,Depressed,Smooth
P,GrayPink,Depressed,Smooth
P,Brown,Depressed,Smooth
E,Green,Depressed,Smooth
I,BrownYellow,Flat,Smooth
E,GrayDark,Depressed,Smooth
P,Red,Depressed,Smooth
E,Yellow,Depressed,Smooth
E,GreenViolet,Depressed,Smooth
E,Purple,Depressed,Smooth
P,Purple,Depressed,Smooth
E,RedPink,Depressed,Smooth
I,Red,Depressed,Smooth
I,Purple,Depressed,Smooth
I,RedPurple,Depressed,Smooth
E,Purple,Depressed,Smooth
E,GreenPink,Flat,Smooth
E,RedBrown,Depressed,Smooth
E,Green,Convex,Patches
E,Red,Depressed,Smooth
E,Brown,ToothFungi,Patches
P,PaleBrown,ToothFungi,Smooth
P,Brown,ToothFungi,Hairy
E,Brown,ToothFungi,Patches
E,Red,CupFungi,Smooth
E,Red,CupFungi,Smooth
I,Red,CupFungi,Smooth
P,Brown,CupFungi,
P,PinkBrown,CupFungi,Smooth
I,GrayWhite,Shellshaped,Hairy
P,Brown,Puffballs,FlatScales
P,Brown,Puffballs,Patches
P,White,Truffles,Patches
I,Brown,Puffballs,FlatScales
I,Red,CupFungi,Hairy
I,Orange,CupFungi,Hairy
I,Red,CupFungi,Hairy
I,OrangeRed,CupFungi,Hairy
P,Gray,Corticioid,
P,White,CoralFungi,
P,White,CoralFungi,Smooth
P,Brown,Corticioid,Velvety
P,Brown,Flat,Velvety
I,White,Corticioid,Hairy
E,Tan,Cauliflower,Smooth
E,Yellow,Cauliflower,
E,WhiteTan,Cauliflower,Smooth
E,Yellow,CoralFungi,Smooth
P,Pale,CoralFungi,Smooth
P,Brown,Conical,Hairy
I,White,ToothFungi,Smooth
P,PaleBrown,Flat,Fibrous
P,Brown,ToothFungi,
,BrownWhite,,
I,Brown,Shellshaped,Hairy
I,BrownOrange,Funnelshaped,Smooth
P,BrownGray,Corticioid,Hairy
I,Corticioid,Velvety,
I,Brown,Shellshaped,Smooth
E,DarkBrown,Bolete,Patches
E,Brown,Flat,Smooth
E,DarkBrown,Flat,Smooth
P,Brown,Depressed,Smooth
P,Blue,Bellshaped,Smooth
I,Blue,Convex,Hairy
P,Yellow,Flat,Smooth
I,Brown,Conical,Smooth
E,White,Bellshaped,Fibrous
I,BlueGray,Conical,Fibrous
E,RedBrown,Flat,Smooth
E,PaleYellow,Convex,Smooth
E,YellowBrown,Bolete,Silky
P,RedPale,Bolete,Silky
E,YellowRed,Bolete,Silky
E,Yellow,Bolete,Smooth
E,GrayPale,Bolete,Smooth
E,Brown,Convex,Smooth
E,PaleYellow,Bolete,Smooth
E,Brown,Flat,Smooth
E,Brown,Convex,Fibrous
E,Brown,Flat,FlatScales
E,BrownPale,Bolete,Smooth
E,YellowOrange,Bolete,Smooth
E,BrownYellow,Convex,Smooth
E,Brown,Depressed,FlatScales
E,Brown,Bolete,Smooth
E,BrownYellow,Bolete,Smooth
E,WhiteYellow,Convex,Smooth
E,Brown,Convex,Smooth
E,BrownOrange,Convex,Smooth
E,Yellow,Flat,Patches
E,Pink,Bolete,FlatScales
E,Brown,Flat,Patches
E,Yellow,Bolete,Smooth
E,Orange,Convex,Fibrous
E,YellowBrown,Convex,Patches
E,WhiteGray,Flat,Smooth
E,Yellow,Bolete,Silky
I,Yellow,JellyFungi,Smooth
I,Brown,Funnelshaped,Silky
P,YellowBrown,Shellshaped,Velvety
I,GrayYellow,CupFungi,Smooth
P,Blue,Corticioid,Velvety
P,GrayBrown,CoralFungi,Hairy
P,Gray,CoralFungi,Smooth
P,Brown,CoralFungi,Hairy
I,DarkBrown,Corticioid,Hairy
I,GrayWhite,Funnelshaped,Hairy
P,Gray,Shellshaped,Velvety
E,Gray,Shellshaped,Smooth
I,WhiteGray,Shellshaped,Hairy
I,Brown,Shellshaped,Velvety
I,Pale,Shellshaped,Smooth
I,White,Polypore,Velvety
P,Brown,Polypore,Hairy
E,Gray,Polypore,Velvety
E,Yellow,JellyFungi,Smooth
P,Pink,JellyFungi,Smooth
E,BrownPale,Cauliflower,Smooth
E,White,JellyFungi,Smooth
E,Yellow,JellyFungi,Smooth
P,Purple,Shellshaped,Velvety
I,GrayLilac,Shellshaped,Velvety
,Orange,,
P,Dark,CoralFungi,Velvety
P,Dark,CoralFungi,Smooth
P,Yellow,Convex,Smooth
P,White,Flat,Smooth
E,GrayBrown,Knobbed,Fibrous
P,BrownYellow,Bellshaped,Fibrous
E,Gray,Flat,FlatScales
E,Brown,Convex,Patches
E,GrayBrown,Convex,Fibrous
P,Yellow,Flat,Smooth
E,Brown,Flat,Patches
I,Brown,Flat,Smooth
E,Brown,Convex,FlatScales
P,WhitePale,Knobbed,Smooth
E,White,Flat,Fibrous
E,Gray,Conical,FlatScales
P,GrayPale,Flat,FlatScales
E,GrayDark,Convex,Smooth
I,PaleGray,Flat,Smooth
P,Gray,Flat,FlatScales
P,Gray,Flat,
I,Brown,Flat,Smooth
I,Brown,Flat,Fibrous
P,White,Depressed,Silky
I,Yellow,Flat,Smooth
P,Gray,Knobbed,Fibrous
P,Brown,Flat,Smooth
P,Brown,Flat,Patches
I,Gray,Knobbed,Smooth
P,Yellow,Flat,RaisedScales
E,PurpleRed,Bellshaped,Fibrous
P,Yellow,Flat,Fibrous
P,Pink,Flat,Fibrous
P,Brown,Convex,Smooth
E,Dark,Truffles,
E,Brown,Truffles,
E,Dark,Truffles,RaisedScales
E,Brown,Truffles,
E,Dark,Truffles,
E,Brown,Truffles,
E,Dark,Truffles,
E,Pale,Truffles,
E,Dark,Truffles,
E,Brown,Truffles,
E,Dark,Truffles,
,RedPink,,
P,WhiteGray,Puffballs,
P,Orange,Chanterelles,Smooth
P,Brown,Funnelshaped,Patches
E,Orange,Bolete,Velvety
I,TanBrown,Bolete,Silky
E,Brown,Bolete,Silky
E,BrownTan,Bolete,Silky
E,VioletPurple,Flat,Silky
E,White,Bolete,Smooth
E,PurpleBrown,Bolete,Silky
E,Brown,Bolete,Smooth
P,Pale,CoralFungi,Smooth
I,White,Polypore,Velvety
I,Dark,CupFungi,
E,Brown,TrueMorels,
E,Brown,Bellshaped,Smooth
E,White,Bellshaped,Hairy
I,White,Bellshaped,Fibrous
E,Gray,Bellshaped,Smooth
I,PinkPurple,CupFungi,Silky
E,BrownRed,Bolete,FlatScales
E,Brown,Bolete,Silky
E,Red,Bolete,FlatScales
E,Brown,Bolete,Silky
E,Brown,Bolete,Silky
E,Brown,Bolete,FlatScales
E,Brown,Bolete,Silky
E,BrownRed,Bolete,FlatScales
P,ConvexBolete,Silky,
E,BrownYellow,Bolete,Velvety
P,YellowOrange,Depressed,Smooth
P,Brown,Depressed,Smooth
P,YellowBrown,Flat,Smooth
P,YellowOrange,Depressed,Smooth
E,Brown,Flat,Velvety
I,DarkWhite,CoralFungi,Smooth
I,White,CoralFungi,Smooth
I,Dark,CoralFungi,
I,Dark,CoralFungi,
