Edible,Color,Shape,Surface
P,GrayPale,Flat,Smooth
P,Brown,Funnelshaped,Smooth
I,Gray,Depressed,Smooth
E,PaleBrown,Flat,Smooth
E,PaleGray,Depressed,Smooth
I,White,Flat,Smooth
P,White,Flat,Smooth
I,White,Depressed,Smooth
P,Brown,Flat,Silky
I,Brown,Funnelshaped,Velvety
P,Red,Stinkhorns,
P,Red,Stinkhorns,
P,PaleWhite,Conical,Smooth
P,Brown,Bellshaped,Smooth
P,BrownPale,Depressed,Smooth
E,Gray,Bellshaped,Smooth
P,Brown,Cylindrical,Patches
P,BrownGray,Convex,Fibrous
P,Brown,Bellshaped,Smooth
E,Pale,Bellshaped,Smooth
E,GrayPale,Bellshaped,Smooth
E,Gray,Flat,Fibrous
P,Gray,Flat,Hairy
E,White,Conical,Powder
I,GrayBrown,Cylindrical,Patches
E,White,Cylindrical,Fibrous
P,White,Bellshaped,Fibrous
E,Brown,Convex,Smooth
E,Orange,CoralFungi,
P,PalePurple,Bellshaped,Smooth
I,GrayLilac,Convex,
I,DarkPurple,Flat,Smooth
E,BrownYellow,Knobbed,Smooth
I,Brown,Bellshaped,Smooth
P,Red,Bellshaped,FlatScales
E,Violet,Flat,Smooth
P,LilacPurple,Convex,Fibrous
I,Brown,Flat,Smooth
E,PaleYellow,Bellshaped,Smooth
P,Brown,Conical,Silky
I,Brown,Bellshaped,Smooth
P,DarkBrown,Knobbed,Smooth
P,Yellow,Convex,Smooth
P,DarkGray,Knobbed,Fibrous
E,Yellow,Convex,Smooth
I,Brown,Knobbed,Fibrous
P,Brown,Knobbed,Smooth
P,BrownOrange,Flat,Smooth
P,YellowOrange,Convex,Smooth
P,Brown,Flat,Smooth
E,Violet,Convex,Smooth
P,Brown,Bellshaped,Silky
E,BrownPurple,Convex,Fibrous
P,Brown,Knobbed,Smooth
E,Pink,Flat,Smooth
I,BlueViolet,Flat,Smooth
P,Red,Convex,Silky
P,Brown,Knobbed,Fibrous
P,Brown,Knobbed,Silky
P,Violet,Convex,Smooth
P,BrownLilac,Bellshaped,Silky
P,LilacPurple,Convex,Silky
E,Yellow,Convex,Fibrous
P,Brown,Bellshaped,Smooth
I,Orange,Convex,Smooth
E,Yellow,Depressed,Smooth
P,Violet,Convex,RaisedScales
E,Dark,Funnelshaped,Smooth
E,BrownYellow,Funnelshaped,Fibrous
P,White,Shellshaped,Silky
P,White,Shellshaped,Fibrous
P,White,Shellshaped,Fibrous
P,WhitePale,Shellshaped,Hairy
P,Brown,CupFungi,
P,Pale,JellyFungi,Smooth
P,Brown,JellyFungi,Smooth
E,Orange,Flat,Fibrous
E,White,Depressed,Smooth
E,Brown,Bolete,Smooth
P,GrayBrown,CupFungi,
P,DarkBrown,CupFungi,Hairy
P,BrownGray,CupFungi,
E,PaleBrown,Flat,Smooth
E,BrownDark,Convex,Smooth
I,BrownYellow,Bellshaped,Patches
P,Brown,Convex,Powder
P,Brown,Flat,RaisedScales
I,Orange,Bellshaped,RaisedScales
I,White,Knobbed,Silky
P,Yellow,JellyFungi,Smooth
E,Orange,JellyFungi,Smooth
P,Orange,JellyFungi,Smooth
I,Brown,Shellshaped,Smooth
E,Brown,Shellshaped,Smooth
P,Dark,Corticioid,Smooth
P,Brown,Convex,Smooth
P,GrayBrown,Flat,Smooth
E,Brown,CupFungi,Silky
E,Brown,CupFungi,Smooth
P,Brown,CupFungi,
P,BrownPale,Flat,RaisedScales
P,Brown,Bellshaped,RaisedScales
I,Brown,Truffles,FlatScales
,White,,
P,Dark,Flat,Fibrous
P,PurpleGray,Knobbed,Smooth
P,Brown,Convex,Smooth
P,Dark,Convex,FlatScales
P,GrayBrown,Depressed,Smooth
P,Brown,Bellshaped,Fibrous
P,Blue,Conical,Fibrous
P,GreenBrown,Depressed,
P,Brown,Bellshaped,Smooth
P,Dark,Depressed,Fibrous
P,Gray,Flat,Silky
E,WhiteBrown,Depressed,Smooth
P,PaleTan,Bellshaped,Smooth
E,White,Conical,Smooth
P,Brown,Conical,Smooth
P,White,Convex,Silky
P,DarkBrown,Knobbed,Smooth
P,Dark,Depressed,Fibrous
P,White,Flat,Smooth
P,BrownDark,Flat,Smooth
P,Dark,JellyFungi,Smooth
P,Dark,JellyFungi,Smooth
P,White,JellyFungi,Smooth
E,Brown,JellyFungi,Smooth
P,White,JellyFungi,Smooth
P,White,Corticioid,Hairy
P,Orange,Shellshaped,
P,White,Shellshaped,
E,Red,Polypore,Silky
P,Brown,Flat,RaisedScales
E,OrangeBrown,Convex,RaisedScales
E,BrownOrange,Convex,Smooth
P,Gray,Shellshaped,Smooth
E,GrayBrown,Polypore,Smooth
E,RedDark,Shellshaped,Smooth
,Yellow,,
P,BrownDark,Polypore,Velvety
P,Brown,Conical,Smooth
P,YellowBrown,Flat,Smooth
I,Brown,Bellshaped,Smooth
P,BrownPale,Convex,Smooth
P,Brown,Convex,Smooth
I,DarkBrown,CupFungi,Smooth
E,GrayBrown,Shellshaped,Smooth
I,BrownDark,Shellshaped,Velvety
I,RedBrown,Smooth,
E,Red,Shellshaped,Smooth
I,Red,Shellshaped,Smooth
E,Brown,Shellshaped,Smooth
I,Gray,Earthstars,Smooth
I,White,Earthstars,
P,Brown,Earthstars,
I,Dark,Earthstars,
I,Gray,Earthstars,
I,Gray,Earthstars,Smooth
I,Gray,Earthstars,
P,Earthstars,,
I,Brown,Earthstars,
I,BrownWhite,Earthstars,
P,Dark,CoralFungi,Smooth
P,Dark,CoralFungi,Smooth
P,Pale,CupFungi,
E,Brown,Truffles,Hairy
P,Brown,CupFungi,Smooth
P,Green,Convex,Smooth
P,GrayBrown,Knobbed,Smooth
E,OrangeBrown,Depressed,Smooth
E,Green,Convex,Smooth
I,OrangeBrown,Polypore,Hairy
E,LilacBrown,Depressed,Smooth
E,BrownPale,Depressed,Smooth
E,PinkPale,Depressed,Smooth
E,RedPink,Flat,Smooth
E,Pink,Flat,Smooth
E,Pink,Depressed,Smooth
E,Lilac,Depressed,Silky
E,Gray,Polypore,Silky
E,Orange,JellyFungi,Silky
P,Yellow,JellyFungi,Smooth
I,Purple,Flat,RaisedScales
I,OrangeBrown,Flat,Fibrous
E,Orange,Convex,Smooth
E,PinkYellow,Bellshaped,FlatScales
I,Brown,Convex,Smooth
I,Brown,Flat,Smooth
I,Brown,Depressed,Smooth
P,BrownPale,Bellshaped,Smooth
E,BrownPale,Convex,Silky
E,Brown,Flat,Smooth
I,Yellow,Convex,Smooth
P,Orange,Corticioid,Smooth
E,PaleBrown,Bolete,Silky
E,Brown,Convex,Silky
P,Brown,FalseMorels,Smooth
E,Brown,FalseMorels,Smooth
P,Brown,FalseMorels,Smooth
I,Brown,FalseMorels,Smooth
E,Pale,Bolete,Fibrous
E,Pink,Bolete,Silky
P,PaleTan,Convex,Smooth
P,Brown,Flat,Smooth
P,TanPale,Convex,FlatScales
P,Tan,Flat,Smooth
P,Brown,Convex,FlatScales
P,Brown,CupFungi,Smooth
P,DarkGray,FalseMorels,Smooth
P,Gray,CupFungi,RaisedScales
P,White,FalseMorels,Smooth
E,DarkGray,FalseMorels,Smooth
P,Brown,FalseMorels,Smooth
I,Gray,CupFungi,Velvety
E,Dark,FalseMorels,Smooth
P,White,CupFungi,Smooth
P,GrayBrown,CupFungi,RaisedScales
I,GrayDark,CupFungi,Hairy
P,DarkBrown,CupFungi,Smooth
E,Dark,FalseMorels,Smooth
P,PaleWhite,Corticioid,Smooth
E,Brown,Bolete,Smooth
P,White,Conical,Smooth
E,White,Bellshaped,Smooth
,Yellow,,
E,White,ToothFungi,Smooth
E,White,ToothFungi,Hairy
E,White,ToothFungi,
E,White,ToothFungi,Hairy
P,DarkBrown,Shellshaped,Smooth
P,DarkGray,JellyFungi,Silky
P,Gray,Flat,Hairy
E,BrownYellow,Bolete,FlatScales
E,Brown,Bolete,FlatScales
P,Red,Bolete,Silky
P,Brown,CupFungi,Hairy
P,WhiteOrange,ToothFungi,Velvety
P,Orange,Funnelshaped,Velvety
P,Blue,ToothFungi,Velvety
I,Brown,ToothFungi,Velvety
I,Blue,ToothFungi,Velvety
P,WhiteRed,ToothFungi,Velvety
I,RedWhite,ToothFungi,Velvety
I,DarkBrown,ToothFungi,Velvety
I,Tooth Fungi,Velvety,
I,WhiteBrown,ToothFungi,Velvety
E,Orange,Depressed,Silky
E,OrangePale,ToothFungi,Smooth
P,YellowOrange,Conical,Smooth
P,Orange,Conical,Smooth
E,Red,Convex,Fibrous
P,Yellow,Convex,Smooth
E,Yellow,Flat,Smooth
E,Red,Convex,Smooth
P,Orange,Conical,Smooth
I,RedOrange,Conical,Silky
E,Yellow,Flat,Smooth
E,Gray,Flat,Smooth
